rlwrap ../../../../../tools/serial-io/serialdump -b115200 /dev/ttyUSB0
6626 540 125 172 
6626 540 124 172 
6627 540 125 173 
6628 540 126 174 
6628 540 125 173 
6629 540 127 175 
6629 540 126 173 
6629 540 127 173 
6629 540 126 174 
6628 540 121 172 
6627 539 126 175 
6628 538 126 173 
6630 539 125 173 
6629 538 124 173 
6628 539 126 173 
6627 538 126 172 
6628 538 127 174 
6628 538 127 174 
6627 538 127 175 
6626 538 127 174 
6626 538 127 173 
6627 538 127 176 
6627 538 128 159 
6627 538 126 160 
6628 538 127 175 
6627 538 127 174 
6627 538 127 177 
6628 538 126 174 
6629 538 127 176 
6630 538 126 177 
6631 538 127 177 
6630 538 124 175 
6631 538 127 175 
6629 538 127 176 
6628 538 127 176 
6628 538 127 176 
6629 538 125 174 
6628 538 127 176 
6628 538 127 176 
6629 538 127 177 
6631 538 126 175 
6630 538 126 174 
6629 538 127 174 
6631 538 123 156 
6632 538 127 175 
6632 538 127 175 
6632 538 127 175 
6632 538 126 175 
6632 538 127 175 
6632 538 127 174 
6635 538 126 173 
6632 538 126 175 
6632 538 127 174 
6632 538 126 173 
6632 538 127 175 
6632 538 126 173 
6633 538 126 174 
6632 538 127 175 
6631 538 127 175 
6631 538 126 175 
6631 538 127 175 
6633 538 126 175 
6632 538 127 175 
6632 538 126 175 
6633 538 127 175 
6631 538 127 174 
6631 538 126 173 
6632 538 127 176 
6631 538 127 176 
6633 538 125 175 
6634 538 127 176 
6634 538 128 159 
6635 538 127 174 
6636 538 124 160 
6636 538 127 177 
6636 538 127 176 
6637 538 127 177 
6638 538 128 177 
6638 538 128 177 
6638 538 126 176 
6639 538 127 176 
6639 538 126 176 
6639 538 128 160 
6640 538 127 175 
6639 538 128 177 
6639 538 127 177 
6638 538 128 176 
6639 540 127 176 
6640 540 128 158 
6640 540 129 160 
6640 540 128 177 
6641 540 124 159 
6640 538 129 161 
6640 538 125 160 
6641 538 126 175 
6639 538 127 176 
6640 538 125 175 
6640 539 129 161 
6640 539 128 177 
6640 540 127 177 
6640 540 127 177 
6639 540 128 177 
6639 540 128 177 
6638 540 128 177 
6640 540 126 176 
6639 540 127 175 
6640 540 126 159 
6640 541 127 176 
6641 541 128 175 
6641 540 127 177 
6642 540 123 157 
6642 540 126 176 
6642 541 127 176 
6644 540 127 177 
6645 540 127 176 
6645 541 127 176 
6645 541 124 158 
6645 541 127 176 
6644 541 127 174 
6645 540 128 176 
6645 542 127 176 
6646 541 128 175 
6646 542 127 176 
6645 542 128 158 
6645 542 125 174 
6646 542 128 160 
6646 542 128 175 
6647 542 127 161 
6646 542 125 159 
6647 542 125 160 
6646 542 128 160 
6647 542 126 174 
6648 542 128 159 
6647 542 126 174 
6648 543 124 160 
6648 543 127 176 
6648 544 126 176 
6648 544 127 176 
6648 544 125 176 
6648 544 127 177 
6650 544 124 174 
6648 544 126 174 
6648 544 124 158 
6648 544 126 173 
6649 544 125 175 
6650 544 128 158 
6649 544 127 175 
6649 545 129 161 
6649 544 128 158 
6650 544 126 174 
6650 545 125 158 
6649 546 127 175 
6650 546 127 175 
6650 544 127 175 
6649 546 127 175 
6650 546 127 174 
6650 546 128 176 
6650 546 127 171 
6651 546 126 158 
6652 546 127 176 
6650 546 126 175 
6651 546 127 176 
6651 546 129 160 
6651 546 125 176 
6650 546 128 159 
6650 546 127 176 
6651 546 128 158 
6650 546 126 159 
6651 545 127 176 
6650 546 127 176 
6652 546 125 159 
6652 545 124 158 
6650 546 128 175 
6651 546 124 158 
6652 546 126 175 
6651 546 125 173 
6652 546 126 174 
6651 546 126 176 
6652 546 127 176 
6652 546 127 175 
6651 546 125 174 
6651 546 127 175 
6650 546 127 174 
6651 546 126 175 
6651 546 125 174 
6651 546 127 176 
6651 546 125 173 
6650 546 127 176 
6652 546 126 174 
6652 546 125 159 
6652 546 125 158 
6651 546 128 174 
6654 546 128 174 
6653 546 126 174 
6655 546 126 159 
6655 546 125 174 
6655 546 127 174 
6655 545 125 159 
6656 546 127 176 
6656 544 127 174 
6657 546 125 159 
6656 544 128 159 
6656 545 124 160 
6656 544 128 159 
6658 545 124 159 
6657 544 126 174 
6657 544 125 161 
6657 544 128 175 
6655 544 129 175 
6657 544 127 174 
6657 544 128 175 
6657 545 127 174 
6657 544 126 175 
6658 544 124 172 
6660 546 126 173 
6661 548 125 173 
6661 548 125 173 
6663 548 125 173 
6662 548 126 173 
6663 547 126 173 
6662 546 128 173 
6662 546 125 172 
6663 546 123 172 
6662 546 123 172 
6662 545 125 173 
6662 544 124 171 
6662 544 124 173 
6663 544 126 175 
6662 544 126 173 
6663 544 124 172 
6662 544 123 171 
6663 544 124 173 
6663 544 122 172 
6665 544 123 171 
6664 544 123 172 
6664 544 123 171 
6664 544 122 168 
6664 544 121 167 
6662 544 122 167 
6663 544 121 167 
6662 544 120 170 
6663 544 126 172 
6665 544 126 173 
6664 544 125 173 
6664 544 117 162 
6664 544 117 161 
6666 544 117 164 
6664 544 117 162 
6664 544 117 163 
6664 544 117 162 
6664 544 118 164 
6664 544 123 171 
6664 545 120 166 
6664 546 124 170 
6663 555 124 171 
6662 574 123 171 
6661 600 121 167 
6661 616 124 172 
6661 614 124 171 
6662 608 123 171 
6662 606 127 175 
6664 608 125 174 
6662 618 124 173 
6663 628 124 174 
6663 630 122 170 
6664 628 117 164 
6665 628 127 177 
6665 628 127 177 
6666 624 125 173 
6666 618 124 173 
6666 610 126 173 
6667 604 125 173 
6666 597 125 173 
6666 590 125 174 
6667 584 125 173 
6667 580 126 174 
6668 577 125 174 
6668 575 125 173 
6667 573 125 173 
6669 570 127 176 
6668 568 128 177 
6669 566 126 175 
6670 564 126 174 
6668 562 118 163 
6671 562 119 166 
6670 560 129 177 
6670 558 128 161 
6671 560 129 162 
6672 562 129 162 
6672 564 129 178 
6672 584 129 177 
6673 604 128 163 
6672 618 126 162 
6673 634 129 162 
6670 644 130 163 
6671 652 129 163 
6672 658 127 179 
6673 674 127 165 
6673 682 127 179 
6673 670 128 163 
6673 650 130 164 
6674 633 128 165 
6673 618 129 180 
6672 606 125 164 
6673 595 130 178 
6673 586 128 164 
6673 580 130 176 
6673 574 129 161 
6672 570 129 163 
6673 566 125 174 
6672 564 126 176 
6672 570 125 176 
6673 598 127 178 
6672 634 127 175 
6672 654 128 160 
6673 654 127 176 
6673 641 129 161 
6674 627 129 179 
6673 616 131 163 
6673 604 129 178 
6673 594 128 160 
6674 586 126 177 
6672 580 127 179 
6673 574 127 163 
6673 570 128 166 
6672 568 127 180 
6672 590 128 180 
6670 620 128 160 
6671 632 127 179 
6670 633 128 161 
6670 638 127 179 
6671 644 128 161 
6672 646 128 160 
6672 634 129 160 
6672 620 127 179 
6672 608 127 178 
6672 598 127 177 
6672 590 127 179 
6672 583 126 175 
6672 578 127 176 
6673 574 128 177 
6675 572 125 177 
6674 570 125 178 
6676 573 125 163 
6675 574 125 162 
6676 581 124 161 
6677 592 127 179 
6678 592 127 178 
6678 588 127 178 
6678 592 128 161 
6680 591 127 176 
6680 590 126 163 
6679 594 125 179 
6680 596 127 179 
6680 588 126 177 
6679 582 128 179 
6678 576 128 162 
6678 570 124 175 
6677 566 125 179 
6679 564 128 181 
6679 564 130 180 
6680 580 129 163 
6678 604 129 163 
6680 614 125 161 
6681 616 125 161 
6681 629 127 175 
6682 638 126 174 
6683 639 126 176 
6684 644 126 175 
6683 650 126 176 
6684 654 123 172 
6684 664 124 173 
6684 672 123 172 
6684 676 123 172 
6684 681 124 171 
6684 682 124 171 
6685 681 124 171 
6684 686 124 172 
6684 685 125 173 
6683 678 125 173 
6684 687 124 173 
6682 700 123 171 
6682 704 124 171 
6682 709 120 170 
6683 716 124 170 
6685 712 124 171 
6685 704 124 172 
6686 707 124 172 
6685 694 124 172 
6685 668 127 173 
6684 646 123 170 
6684 628 121 168 
6684 614 121 167 
6683 602 121 168 
6684 596 123 170 
6684 602 123 170 
6684 602 123 171 
6684 596 125 171 
6685 588 126 173 
6684 582 128 174 
6684 576 129 157 
6683 570 128 160 
6684 568 125 158 
6684 564 127 174 
6685 564 126 173 
6684 564 126 173 
6685 564 127 176 
6685 562 128 158 
6686 560 128 174 
6686 559 130 161 
6686 557 130 161 
6686 556 130 163 
6686 556 131 165 
6686 556 131 163 
6686 566 132 165 
6688 576 134 167 
6690 576 133 167 
6688 572 126 172 
6691 569 126 170 
6692 565 125 170 
6692 562 124 168 
6692 560 125 169 
6689 558 126 172 
6689 556 125 167 
6690 554 127 170 
6690 554 126 169 
6690 552 127 170 
6690 552 127 168 
6690 552 123 163 
6688 552 124 163 
6690 552 122 157 
6690 552 118 153 
6690 552 117 153 
6689 552 116 151 
6690 552 117 152 
6691 552 115 152 
6690 552 116 152 
6691 556 110 148 
6692 558 116 151 
6692 560 116 149 
6693 562 111 145 
6694 563 106 139 
6695 566 107 139 
6695 570 108 139 
6696 575 107 137 
6696 578 107 137 
6696 578 107 139 
6696 574 107 138 
6697 573 108 138 
6696 571 107 139 
6696 569 106 139 
6697 566 113 149 
6698 564 115 150 
6696 564 113 152 
6696 572 115 149 
6695 578 114 150 
6694 582 114 147 
6694 582 112 146 
6694 585 112 145 
6695 606 112 144 
6694 620 112 145 
6693 632 112 147 
6693 644 112 146 
6692 644 112 145 
6692 647 111 145 
6693 648 115 146 
6693 648 113 146 
6693 654 112 146 
6694 660 112 145 
6692 670 112 145 
6693 673 112 144 
6691 666 112 147 
6691 667 112 146 
6692 666 110 142 
6692 664 109 139 
6694 657 109 141 
6692 649 110 142 
6694 636 110 142 
6695 620 110 141 
6695 607 109 141 
6696 596 109 141 
6695 588 109 141 
6694 580 110 140 
6695 575 109 141 
6694 570 110 142 
6693 568 109 141 
6691 564 110 141 
6690 562 110 142 
6690 560 110 142 
6690 560 110 142 
6690 558 110 141 
6691 558 109 142 
6690 556 110 142 
6691 556 109 142 
6693 556 110 142 
6693 556 109 143 
6692 554 110 143 
6693 554 110 142 
6694 554 110 143 
6694 554 111 144 
6693 554 114 148 
6693 552 113 148 
6693 552 113 149 
6692 566 113 148 
6690 584 114 149 
6691 600 113 147 
6691 612 113 148 
6691 620 113 147 
6691 626 113 147 
6692 628 112 144 
6693 636 109 145 
6692 638 111 144 
6693 632 111 143 
6692 620 110 144 
6693 607 111 144 
6694 596 109 144 
6694 588 111 144 
6694 582 112 144 
6693 576 112 144 
6692 572 111 143 
6692 568 111 143 
6691 566 112 144 
6692 564 113 148 
6693 562 113 148 
6693 562 113 148 
6692 560 114 148 
6693 570 112 148 
6692 588 113 148 
6692 600 115 148 
6691 608 112 146 
6694 616 112 148 
6694 621 112 145 
6694 618 110 146 
6694 618 110 144 
6693 619 111 144 
6696 622 111 143 
6697 624 110 144 
6697 614 110 143 
6696 604 111 142 
6697 594 110 142 
6696 586 110 143 
6697 580 110 141 
6697 576 110 143 
6697 572 111 144 
6697 568 111 143 
6698 566 112 143 
6696 568 110 143 
6697 574 109 143 
6698 588 110 143 
6697 601 109 142 
6698 609 109 142 
6699 614 109 142 
6699 620 108 142 
6698 619 108 140 
6697 623 108 140 
6698 626 107 140 
6699 628 109 140 
6700 630 107 138 
6700 624 108 138 
6698 614 107 139 
6698 602 107 139 
6698 594 107 139 
6698 602 107 139 
6698 613 107 139 
6698 620 107 139 
6699 615 107 140 
6698 607 106 138 
6698 606 106 137 
6699 624 106 137 
6700 634 104 138 
6701 640 107 138 
6701 646 106 137 
6702 648 106 138 
6702 649 105 137 
6702 652 106 137 
6703 656 105 136 
6704 654 106 135 
6705 650 106 136 
6706 640 105 137 
6704 628 106 136 
6706 615 104 136 
6705 608 104 136 
6707 608 104 136 
6706 612 103 136 
6706 616 104 137 
6707 616 106 137 
6706 610 106 137 
6707 606 106 137 
6706 606 106 137 
6707 606 106 137 
6706 608 106 137 
6708 608 106 136 
6708 604 106 137 
6710 608 106 138 
6708 612 106 138 
6706 613 106 138 
6706 614 107 137 
6708 622 108 139 
6708 630 106 139 
6709 632 106 136 
6708 639 105 134 
6707 637 104 133 
6706 630 104 132 
6704 622 104 133 
6704 614 103 135 
6703 608 104 133 
6702 600 104 132 
6702 592 104 133 
6703 586 104 133 
6701 580 104 133 
6700 576 101 132 
6698 572 104 133 
6699 570 104 133 
6699 567 103 133 
6698 566 104 134 
6698 564 104 133 
6697 563 103 132 
6698 562 103 133 
6699 562 103 133 
6697 561 104 135 
6696 560 106 137 
6696 560 107 138 
6697 560 106 138 
6696 558 107 138 
6697 558 106 139 
6697 558 107 140 
6697 558 107 140 
6697 558 108 140 
6697 559 109 142 
6698 558 111 143 
6699 558 113 145 
6698 558 113 146 
6698 558 113 146 
6699 558 113 147 
6698 559 113 147 
6698 558 115 147 
6697 562 112 146 
6697 566 114 147 
6697 580 116 148 
6699 588 116 149 
6698 588 116 149 
6700 588 115 148 
6699 592 115 153 
6698 610 119 156 
6697 621 175 267 
6697 622 160 213 
6696 616 159 215 
6698 612 158 216 
6698 610 160 218 
6698 606 161 218 
6698 602 159 220 
6699 598 160 216 
6700 596 160 219 
6700 592 163 220 
6701 590 161 219 
6700 588 155 212 
6700 586 157 211 
6700 582 160 213 
6701 580 159 216 
6700 580 166 225 
6700 580 167 223 
6699 578 165 220 
6700 576 164 218 
6700 574 162 216 
6700 574 162 216 
6701 574 161 214 
6700 574 160 214 
6700 574 158 212 
6700 576 157 210 
6699 576 154 208 
6700 577 155 208 
6700 576 154 206 
6700 577 154 205 
6699 576 152 204 
6699 576 154 204 
6698 576 154 202 
6699 576 152 201 
6699 576 151 197 
6699 576 149 196 
6700 574 147 193 
6698 574 145 190 
6699 575 146 190 
6698 574 147 190 
6699 576 146 188 
6699 576 144 187 
6697 576 143 186 
6697 577 142 187 
6698 577 142 183 
6696 578 140 182 
6698 578 141 182 
6698 576 140 180 
6697 576 141 181 
6696 576 143 180 
6697 576 140 177 
6697 576 138 176 
6698 576 138 176 
6698 576 140 175 
6698 576 136 173 
6696 576 134 171 
6697 576 133 171 
6696 576 136 170 
6696 576 132 170 
6696 576 134 169 
6696 576 133 165 
6697 576 130 164 
6696 576 129 162 
6697 574 128 162 
6696 574 127 160 
